,沪深300,中证500,中证1000,创业板,中小100,中证100,上证50,中证全债
2008-05-05,4055.779,4040.159,3694.116,,5033.181,4200.355,3169.079,115.6
2008-05-06,4010.888,4024.99,3698.918,,4996.813,4149.608,3128.807,115.61
2008-05-07,3821.319,3850.226,3553.334,,4828.295,3949.654,2979.817,115.54
2008-05-08,3925.041,3985.197,3669.873,,4972.859,4045.839,3037.504,115.49
2008-05-09,3878.924,3986.24,3674.633,,5002.724,3978.75,2978.189,115.51
2008-05-12,3904.92,4069.145,3749.787,,5119.085,3995.045,2991.32,115.55
2008-05-13,3851.687,4078.877,3776.84,,5191.492,3926.594,2924.958,115.58
2008-05-14,3975.782,4168.486,3856.087,,5240.906,4061.468,3027.382,115.6
2008-05-15,3948.088,4131.252,3831.376,,5159.021,4034.118,3005.653,115.6
2008-05-16,3936.121,4071.91,3789.099,,5082.688,4032.094,3009.207,115.59
2008-05-19,3914.072,4070.049,3805.892,,5096.991,3996.958,2978.656,115.66
2008-05-20,3710.818,3813.935,3592.679,,4850.275,3799.594,2835.825,115.62
2008-05-21,3783.049,3908.772,3690.701,,4919.991,3876.627,2892.086,115.66
2008-05-22,3711.444,3871.553,3672.202,,4859.418,3797.904,2841.154,115.66
2008-05-23,3675.147,3829.645,3603.275,,4802.456,3774.023,2838.055,115.69
2008-05-26,3559.217,3728.751,3483.411,,4642.552,3657.097,2745.086,115.68
2008-05-27,3576.197,3743.539,3486.905,,4671.35,3670.839,2754.122,115.69
2008-05-28,3676.23,3847.258,3568.679,,4795.729,3773.182,2836.263,115.69
2008-05-29,3580.868,3749.216,3501.281,,4714.213,3673.861,2765.949,115.65
2008-05-30,3611.33,3755.631,3506.841,,4720.164,3715.712,2800.791,115.65
2008-06-02,3625.826,3788.153,3553.315,,4738.713,3728.701,2814.297,115.69
2008-06-03,3614.111,3771.097,3536.921,,4701.527,3714.624,2804.067,115.71
2008-06-04,3546.916,3704.078,3472.67,,4635.318,3646.06,2736.826,115.77
2008-06-05,3512.138,3657.487,3434.019,,4606.02,3617.52,2722.407,115.79
2008-06-06,3489.502,3629.923,3420.073,,4584.391,3591.725,2701.789,115.8
2008-06-10,3206.562,3312.794,3125.795,,4202.514,3300.313,2480.763,115.78
2008-06-11,3140.299,3226.923,3054.532,,4122.957,3238.647,2446.776,115.7
2008-06-12,3084.633,3197.545,3024.647,,4043.48,3172.062,2387.758,115.62
2008-06-13,2979.117,3045.105,2881.039,,3870.514,3078.501,2322.792,115.64
2008-06-16,2952.242,2977.818,2811.913,,3808.552,3067.09,2323.689,115.69
2008-06-17,2842.676,2791.289,2640.915,,3702.307,2972.051,2262.282,115.66
2008-06-18,2991.273,2951.844,2777.722,,3884.097,3119.675,2368.71,115.66
2008-06-19,2773.076,2702.801,2561.029,,3587.106,2901.206,2201.34,115.66
2008-06-20,2849.668,2764.28,2600.302,,3645.174,2985.34,2273.707,115.63
2008-06-23,2789.941,2717.969,2548.053,,3540.554,2915.932,2220.083,115.62
2008-06-24,2851.915,2806.774,2616.064,,3642.52,2971.906,2256.116,115.63
2008-06-25,2969.537,2966.895,2754.752,,3840.193,3086.406,2334.403,115.64
2008-06-26,2980.907,3003.302,2787.854,,3905.946,3084.841,2326.9,115.59
2008-06-27,2816.021,2792.705,2590.317,,3681.192,2919.776,2206.317,115.53
2008-06-30,2791.819,2813.716,2579.613,,3676.123,2886.432,2175.611,115.44
2008-07-01,2698.347,2765.064,2526.321,,3629.762,2777.444,2081.054,115.43
2008-07-02,2699.597,2811.225,2572.606,,3658.48,2762.047,2062.927,115.4
2008-07-03,2760.612,2941.521,2686.875,,3831.784,2803.791,2088.969,115.44
2008-07-04,2741.852,2941.085,2685.166,,3818.515,2785.32,2077.234,115.43
2008-07-07,2882.763,3094.845,2832.045,,4000.546,2934.91,2190.304,115.43
2008-07-08,2901.841,3142.32,2887.926,,4076.039,2941.928,2193.207,115.45
2008-07-09,3015.126,3226.147,2967.541,,4178.066,3066.201,2289.675,115.39
2008-07-10,2973.728,3152.489,2904.62,,4137.568,3028.786,2259.26,115.41
2008-07-11,2953.498,3132.733,2891.363,,4068.719,3004.128,2245.464,115.47
2008-07-14,2975.874,3198.352,2958.008,,4123.679,3019.879,2259.162,115.52
2008-07-15,2852.979,3106.326,2892.849,,3999.477,2884.355,2157.91,115.51
2008-07-16,2745.596,2948.526,2751.054,,3873.37,2793.81,2088.777,115.55
2008-07-17,2718.068,2918.369,2711.718,,3851.274,2771.669,2073.327,115.55
2008-07-18,2815.462,3015.798,2792.7,,3933.699,2874.033,2158.7,115.52
2008-07-21,2911.051,3139.509,2913.696,,4090.203,2964.045,2228.446,115.54
2008-07-22,2904.743,3150.015,2931.304,,4097.392,2952.035,2217.827,115.3
2008-07-23,2883.32,3122.687,2915.125,,4048.246,2938.599,2213.147,115.17
2008-07-24,2977.362,3200.735,2990.769,,4132.625,3044.196,2299.571,115.07
2008-07-25,2939.202,3172.168,2971.522,,4114.519,3001.462,2265.683,114.94
2008-07-28,2960.851,3215.846,3021.512,,4140.414,3018.41,2278.229,114.97
2008-07-29,2905.63,3150.0,2960.072,,4085.691,2961.059,2232.787,114.98
2008-07-30,2884.384,3132.766,2944.369,,4072.91,2941.225,2219.242,114.88
2008-07-31,2805.21,3017.217,2834.099,,3969.239,2866.513,2164.08,114.9
2008-08-01,2840.788,3063.812,2876.134,,4006.275,2910.107,2205.685,114.86
2008-08-04,2773.15,2990.168,2803.567,,3895.833,2847.525,2155.891,114.86
2008-08-05,2703.079,2897.725,2712.631,,3788.372,2789.85,2120.509,114.89
2008-08-06,2721.693,2904.186,2705.277,,3805.553,2816.149,2150.003,114.86
2008-08-07,2720.442,2923.745,2717.352,,3793.446,2812.053,2143.803,114.9
2008-08-08,2591.462,2711.964,2514.966,,3610.726,2696.725,2056.916,114.98
2008-08-11,2456.811,2508.59,2295.764,,3428.516,2579.624,1975.516,115.0
2008-08-12,2444.155,2473.417,2251.393,,3397.194,2568.341,1961.231,114.98
2008-08-13,2444.672,2472.3,2246.758,,3422.829,2559.966,1949.357,114.94
2008-08-14,2443.512,2483.696,2263.948,,3457.605,2555.218,1941.237,115.01
2008-08-15,2447.615,2473.717,2257.41,,3458.691,2567.184,1957.473,115.04
2008-08-18,2313.402,2289.296,2079.546,,3286.763,2439.967,1859.998,115.01
2008-08-19,2348.472,2327.019,2119.832,,3330.236,2478.504,1889.099,115.03
2008-08-20,2532.94,2520.737,2299.673,,3560.598,2670.803,2042.944,115.03
2008-08-21,2443.979,2431.101,2217.051,,3433.01,2577.028,1975.889,115.06
2008-08-22,2404.928,2382.523,2171.68,,3343.341,2538.137,1948.065,115.14
2008-08-25,2400.548,2374.06,2170.92,,3332.522,2541.267,1954.851,115.18
2008-08-26,2331.532,2244.993,2041.982,,3206.255,2489.757,1919.976,115.21
2008-08-27,2325.292,2237.867,2044.259,,3147.472,2483.618,1921.884,115.28
2008-08-28,2335.865,2236.824,2044.346,,3133.486,2499.289,1938.757,115.33
2008-08-29,2391.64,2307.158,2105.882,,3199.734,2550.806,1975.453,115.42
2008-09-01,2309.171,2238.047,2046.059,,3044.582,2459.422,1905.901,115.57
2008-09-02,2285.411,2253.773,2064.11,,2982.577,2429.224,1882.179,115.63
2008-09-03,2245.964,2237.28,2057.109,,2918.639,2383.186,1849.173,116.03
2008-09-04,2251.146,2254.688,2066.884,,2955.274,2384.336,1845.865,116.04
2008-09-05,2183.432,2148.741,1952.604,,2864.567,2320.841,1796.961,116.28
2008-09-08,2126.518,2039.889,1847.385,,2741.519,2276.437,1770.373,116.36
2008-09-09,2139.145,2057.561,1864.155,,2750.806,2288.47,1780.729,116.39
2008-09-10,2143.176,2072.808,1883.982,,2755.878,2291.735,1781.776,116.51
2008-09-11,2072.126,2034.247,1838.227,,2724.095,2205.575,1709.795,116.57
2008-09-12,2077.846,2038.66,1836.743,,2758.989,2210.296,1711.959,116.93
2008-09-16,2000.651,1993.461,1795.372,,2726.269,2109.52,1615.581,117.61
2008-09-17,1929.135,1956.035,1764.197,,2667.763,2021.021,1532.958,118.18
2008-09-18,1895.99,1899.323,1710.748,,2574.127,1990.969,1508.523,120.05
2008-09-19,2073.113,2086.826,1877.695,,2824.151,2177.082,1650.537,120.05
2008-09-22,2207.614,2182.792,1963.298,,2925.888,2329.222,1780.375,120.08
2008-09-23,2123.478,2042.197,1832.158,,2736.591,2251.029,1726.13,120.04
2008-09-24,2138.853,2088.549,1877.346,,2747.241,2263.777,1736.119,120.17
2008-09-25,2223.532,2138.065,1921.029,,2826.259,2360.606,1808.808,120.07
2008-09-26,2243.657,2136.001,1917.374,,2838.735,2375.732,1811.339,120.18
2008-10-06,2128.696,2054.042,1855.121,,2716.986,2246.875,1712.714,120.59
2008-10-07,2102.448,2046.191,1849.969,,2721.092,2215.831,1678.266,120.73
2008-10-08,2022.881,1995.61,1807.691,,2642.167,2118.753,1600.502,121.26
2008-10-09,1995.297,1969.815,1781.023,,2600.997,2091.548,1587.041,122.04
2008-10-10,1906.96,1837.404,1646.934,,2444.541,2006.406,1528.135,123.51
2008-10-13,1985.486,1872.947,1686.877,,2469.534,2105.97,1613.839,124.45
2008-10-14,1934.619,1816.32,1629.739,,2392.917,2049.801,1564.727,124.5
2008-10-15,1914.356,1806.791,1615.776,,2348.419,2029.636,1548.519,124.58
2008-10-16,1820.903,1704.565,1524.317,,2230.758,1934.987,1473.254,124.66
2008-10-17,1833.262,1726.4,1547.959,,2238.986,1946.833,1480.162,124.65
2008-10-20,1896.733,1786.564,1606.022,,2300.596,2014.243,1531.692,124.66
2008-10-21,1881.406,1782.664,1611.727,,2326.311,1995.161,1514.129,124.77
2008-10-22,1833.323,1748.84,1580.886,,2308.98,1941.354,1470.922,124.84
2008-10-23,1834.78,1766.59,1597.614,,2323.652,1933.971,1459.197,124.4
2008-10-24,1781.598,1741.181,1575.055,,2299.923,1870.82,1408.126,124.32
2008-10-27,1654.671,1604.758,1452.936,,2158.311,1736.308,1305.705,124.25
2008-10-28,1705.82,1642.055,1490.743,,2230.422,1795.251,1353.688,124.34
2008-10-29,1658.223,1576.931,1426.083,,2173.974,1751.421,1316.982,124.5
2008-10-30,1697.656,1590.226,1436.896,,2210.627,1803.774,1358.891,125.0
2008-10-31,1663.66,1562.022,1406.758,,2201.019,1768.871,1327.705,125.12
2008-11-03,1653.542,1539.795,1388.376,,2198.9,1764.969,1323.888,125.27
2008-11-04,1627.759,1513.495,1374.35,,2162.328,1741.868,1313.017,125.31
2008-11-05,1691.42,1563.369,1423.451,,2225.422,1813.965,1370.764,125.4
2008-11-06,1649.776,1536.598,1405.798,,2179.319,1765.065,1332.714,125.6
2008-11-07,1677.827,1561.221,1432.779,,2177.539,1798.381,1363.458,125.97
2008-11-10,1801.665,1676.277,1541.301,,2320.474,1932.451,1469.623,126.21
2008-11-11,1781.361,1662.848,1533.356,,2291.378,1906.99,1443.209,126.35
2008-11-12,1801.823,1704.226,1580.053,,2282.613,1923.703,1457.431,126.79
2008-11-13,1874.082,1784.497,1652.164,,2383.222,1995.809,1509.893,126.96
2008-11-14,1943.654,1867.485,1737.469,,2516.835,2058.061,1550.465,127.23
2008-11-17,1987.225,1959.072,1827.967,,2628.669,2089.898,1572.904,127.21
