,沪深300,中证500,中证1000,创业板,中小100,中证100,上证50,中证全债
2007-11-23,4856.16,4193.98,3802.826,,5167.01,5153.61,3961.369,111.92
2007-11-30,4737.41,4122.932,3733.479,,5028.44,5039.896,3880.339,111.84
2007-12-07,5041.35,4362.22,3960.609,,5325.2,5364.425,4122.062,111.88
2007-12-14,4977.65,4499.53,4103.854,,5585.33,5246.745,4008.878,111.92
2007-12-21,5101.85,4691.533,4281.387,,5781.35,5342.954,4081.005,111.58
2007-12-28,5338.28,4947.603,4493.415,,6247.56,5578.454,4226.756,111.78
2008-01-04,5483.65,5243.032,4778.028,,6387.95,5669.365,4282.686,111.86
2008-01-11,5699.15,5376.797,4867.471,,6447.83,5914.396,4481.487,111.98
2008-01-18,5414.47,5317.448,4886.729,,6439.47,5537.514,4195.954,112.11
2008-01-25,5077.43,5096.69,4612.951,,6218.08,5159.259,3875.578,112.37
2008-02-01,4571.94,4456.927,4027.373,,5559.79,4681.331,3500.053,112.88
2008-02-05,4921.83,4838.995,4366.549,,5989.75,5032.803,3766.163,114.12
2008-02-15,4813.31,4886.016,4437.486,,6026.08,4881.75,3646.176,114.29
2008-02-22,4702.24,5029.198,4591.941,,6197.59,4671.662,3466.204,114.24
2008-02-29,4674.55,5057.617,4646.539,,6093.64,4651.961,3470.602,114.57
2008-03-07,4621.69,5115.916,4805.957,,6160.54,4556.166,3395.606,114.56
2008-03-14,4157.87,4662.316,4435.479,,5559.49,4099.778,3084.449,114.57
2008-03-21,4037.83,4405.856,4197.441,,5250.78,4043.712,3021.58,114.78
2008-03-28,3918.16,4241.452,4060.043,,5108.67,3938.084,2910.511,115.12
2008-04-03,3650.7,3588.762,3393.426,,4542.33,3789.376,2828.626,115.48
2008-04-11,3783.73,3862.363,3619.036,,4819.37,3871.292,2865.45,115.32
2008-04-18,3272.5,3338.274,3116.689,,4271.14,3350.37,2511.362,115.37
2008-04-25,3803.07,3756.33,3457.991,,4674.03,3952.307,2984.963,115.48
2008-04-30,3959.12,3903.178,3584.346,,4858.35,4118.489,3125.533,115.54
2008-05-09,3878.92,3986.24,3674.633,,5002.72,3978.75,2978.189,115.51
2008-05-16,3936.12,4071.91,3789.099,,5082.69,4032.094,3009.207,115.59
2008-05-23,3675.15,3829.645,3603.275,,4802.46,3773.786,2838.055,115.69
2008-05-30,3611.33,3755.631,3506.841,,4720.16,3715.712,2800.791,115.65
2008-06-06,3489.5,3629.923,3420.073,,4584.39,3591.725,2701.789,115.8
2008-06-13,2979.12,3045.105,2881.039,,3870.51,3078.501,2322.792,115.64
2008-06-20,2849.67,2764.28,2600.302,,3645.17,2985.34,2273.707,115.63
2008-06-27,2816.02,2792.705,2590.317,,3681.19,2919.776,2206.317,115.53
2008-07-04,2741.85,2941.085,2685.166,,3818.51,2785.32,2077.234,115.43
2008-07-11,2953.5,3132.733,2891.363,,4068.72,3004.128,2245.464,115.47
2008-07-18,2815.46,3015.798,2792.7,,3933.7,2874.033,2158.7,115.52
2008-07-25,2939.2,3172.168,2971.522,,4114.52,3001.462,2265.683,114.94
2008-08-01,2840.79,3063.812,2876.134,,4006.27,2910.107,2205.685,114.86
2008-08-08,2591.46,2711.964,2514.966,,3610.73,2696.725,2056.916,114.98
2008-08-15,2447.62,2473.717,2257.41,,3458.69,2567.184,1957.473,115.04
2008-08-22,2404.93,2382.523,2171.68,,3343.34,2538.137,1948.065,115.14
