trade_date,采掘,化工,钢铁,有色金属,建筑材料,建筑装饰,电气设备,机械设备,国防军工,汽车,家用电器,纺织服装,轻工制造,商业贸易,农林牧渔,食品饮料,休闲服务,医药生物,公用事业,交通运输,房地产,电子,计算机,传媒,通信,银行,非银金融,综合
2011-04-22,6520.69,2696.38,3495.28,5299.63,,,,,,,2828.9,2520.48,2198.19,4668.17,2429.57,5562.69,3280.15,4666.55,2214.76,2526.36,3052.54,1963.68,,,,,,2317.8
2011-04-29,6313.12,2518.77,3207.51,4938.73,,,,,,,2709.6,2359.53,2067.99,4501.76,2263.51,5507.14,2984.06,4390.65,2157.47,2414.31,2893.83,1814.29,,,,,,2173.36
2011-05-06,5854.0,2520.19,3218.68,4704.25,,,,,,,2740.27,2389.33,2051.37,4556.89,2248.98,5646.4,2964.7,4509.39,2177.47,2442.75,2891.17,1829.9,,,,,,2174.45
2011-05-13,5995.26,2561.75,3107.86,4748.19,,,,,,,2759.0,2424.87,2094.79,4585.42,2269.11,5636.6,2990.68,4483.18,2216.31,2429.13,2952.37,1849.04,,,,,,2233.04
2011-05-20,6047.57,2538.1,3052.03,4748.98,,,,,,,2791.28,2418.27,2065.89,4549.58,2270.72,5740.8,2947.49,4465.28,2140.57,2382.38,2929.58,1831.69,,,,,,2222.8
2011-05-27,5847.45,2327.16,2847.49,4483.39,,,,,,,2526.57,2218.78,1865.64,4155.76,2158.68,5414.0,2674.54,4060.93,1959.63,2220.28,2727.39,1669.15,,,,,,2034.12
2011-06-03,5946.02,2358.06,2960.81,4595.29,,,,,,,2559.42,2230.43,1893.29,4215.64,2208.3,5651.06,2687.72,4156.18,1982.99,2237.9,2690.47,1700.25,,,,,,2066.95
2011-06-10,5822.26,2349.79,2928.78,4628.01,,,,,,,2558.51,2236.63,1883.63,4190.71,2172.48,5626.33,2682.36,4128.36,1965.94,2212.54,2729.18,1678.58,,,,,,2057.62
2011-06-17,5713.09,2304.1,2859.91,4431.02,,,,,,,2507.78,2151.99,1837.94,4058.58,2094.3,5459.33,2547.26,3949.26,1883.3,2135.53,2711.52,1638.36,,,,,,2015.49
2011-06-24,6034.22,2401.84,2972.94,4572.22,,,,,,,2687.57,2229.41,1901.67,4210.23,2142.91,5636.8,2658.8,4090.63,1935.94,2200.82,2829.84,1708.66,,,,,,2084.46
2011-07-01,6285.81,2460.22,2974.74,4698.14,,,,,,,2701.07,2285.98,1937.9,4257.79,2199.57,5743.26,2708.52,4182.4,1952.38,2203.87,2911.48,1756.89,,,,,,2148.02
2011-07-08,6342.03,2549.4,3052.04,4876.65,,,,,,,2715.21,2370.13,2003.39,4369.98,2295.91,5938.81,2805.79,4329.74,2009.72,2251.86,2956.28,1827.77,,,,,,2195.27
2011-07-15,6371.85,2607.68,3136.41,5063.62,,,,,,,2782.25,2447.53,2073.98,4495.52,2390.63,6064.35,2899.39,4585.66,2036.35,2273.69,2893.4,1870.15,,,,,,2238.49
2011-07-22,6252.73,2544.55,2994.91,4885.99,,,,,,,2713.84,2412.64,2052.25,4468.92,2355.85,6256.16,2880.9,4523.14,2001.16,2208.85,2869.33,1838.27,,,,,,2220.15
2011-07-29,6153.51,2466.16,2924.4,4809.48,,,,,,,2642.86,2344.14,1990.38,4308.42,2268.07,6180.99,2837.45,4391.21,1923.45,2144.72,2778.0,1778.47,,,,,,2104.55
2011-08-05,6149.73,2422.32,2797.49,4674.97,,,,,,,2543.35,2320.19,1955.59,4250.38,2266.83,6147.35,2811.01,4324.03,1891.31,2087.35,2751.15,1733.11,,,,,,2077.03
2011-08-12,5955.66,2365.22,2719.46,4627.67,,,,,,,2497.85,2302.66,1941.53,4299.08,2288.39,6436.78,2825.74,4365.99,1851.6,2057.13,2784.12,1707.4,,,,,,2071.25
2011-08-19,5707.06,2325.13,2632.02,4532.93,,,,,,,2396.35,2269.78,1894.3,4206.48,2210.24,6308.62,2827.35,4263.72,1817.0,2005.34,2704.49,1669.51,,,,,,2020.21
2011-08-26,5938.4,2424.18,2715.07,4635.43,,,,,,,2458.18,2342.34,1961.3,4275.53,2251.38,6329.6,2911.0,4342.14,1877.8,2076.49,2797.58,1717.86,,,,,,2094.66
2011-09-02,5737.19,2328.37,2613.07,4441.29,,,,,,,2388.92,2269.35,1890.56,4135.44,2183.27,6195.29,2875.89,4174.33,1800.46,1988.19,2672.77,1664.12,,,,,,1994.85
2011-09-09,5606.7,2294.85,2558.22,4384.2,,,,,,,2307.33,2204.49,1841.57,4022.93,2173.24,6024.38,2826.84,4072.51,1776.84,1973.08,2626.08,1612.66,,,,,,1965.53
2011-09-16,5595.28,2306.61,2566.63,4296.35,,,,,,,2273.84,2193.43,1837.0,3982.85,2130.7,5979.85,2790.6,4029.91,1765.87,1964.87,2617.39,1609.16,,,,,,1988.09
2011-09-23,5554.73,2253.16,2485.55,4153.88,,,,,,,2234.54,2151.24,1788.14,3847.81,2091.07,5755.4,2724.79,3933.09,1728.55,1919.01,2470.17,1566.82,,,,,,1925.94
2011-09-30,5538.87,2094.6,2383.38,3902.6,,,,,,,2180.76,2007.81,1680.47,3642.64,1928.39,5558.37,2512.0,3722.85,1646.66,1834.26,2326.43,1462.9,,,,,,1801.39
2011-10-14,5422.8,2181.21,2445.76,4020.32,,,,,,,2218.63,2072.22,1737.44,3716.71,1984.97,5614.86,2600.87,3852.07,1702.75,1908.21,2370.91,1520.46,,,,,,1884.97
2011-10-21,4968.6,1998.27,2264.25,3578.39,,,,,,,2031.28,1938.86,1615.89,3480.08,1849.19,5500.22,2478.84,3592.75,1607.81,1804.03,2202.97,1380.77,,,,,,1749.27
2011-10-28,5442.56,2145.16,2423.66,3922.77,,,,,,,2199.96,2079.85,1722.1,3784.97,1980.06,5857.46,2653.41,3846.57,1746.26,1922.62,2456.12,1476.65,,,,,,1883.55
2011-11-04,5492.58,2201.9,2439.42,4041.05,,,,,,,2249.64,2140.68,1775.12,3863.37,2102.49,5983.85,2753.61,4010.81,1793.42,1953.93,2490.77,1572.75,,,,,,1965.97
2011-11-11,5471.09,2180.15,2405.55,3944.54,,,,,,,2167.69,2120.04,1752.31,3779.93,2073.8,5943.51,2742.89,3994.47,1789.34,1913.73,2411.53,1562.34,,,,,,1917.47
2011-11-18,5298.98,2128.68,2320.93,3786.3,,,,,,,2084.27,2070.71,1724.41,3674.43,2029.33,5827.2,2683.41,3928.7,1769.28,1858.53,2325.22,1526.47,,,,,,1879.54
2011-11-25,5096.75,2087.64,2245.26,3722.7,,,,,,,2024.9,2049.81,1716.8,3596.03,2028.58,6105.62,2715.85,3910.42,1764.18,1825.12,2296.58,1489.78,,,,,,1876.37
2011-12-02,5026.45,2038.56,2172.5,3670.34,,,,,,,1971.46,2004.1,1663.21,3459.13,1995.63,6046.63,2627.48,3923.57,1700.94,1786.18,2309.39,1436.8,,,,,,1821.81
2011-12-09,4877.76,1942.82,2109.72,3475.48,,,,,,,1905.55,1937.68,1585.32,3293.69,1922.07,5671.48,2525.27,3750.67,1653.33,1743.22,2312.55,1374.77,,,,,,1754.05
2011-12-16,4508.15,1798.09,1965.84,3119.16,,,,,,,1834.36,1824.78,1471.21,3167.23,1797.59,5453.57,2396.86,3561.93,1605.43,1660.27,2191.45,1296.0,,,,,,1603.85
2011-12-23,4476.33,1727.74,1919.54,2993.62,,,,,,,1834.91,1743.11,1424.34,3102.77,1731.08,5329.22,2345.77,3478.67,1592.37,1628.69,2156.11,1248.82,,,,,,1538.14
2011-12-30,4478.08,1691.53,1967.41,2999.23,,,,,,,1842.13,1692.38,1374.57,3067.98,1700.12,5165.66,2320.83,3346.51,1564.62,1601.64,2130.95,1213.94,,,,,,1491.9
2012-01-06,4338.68,1613.57,1942.37,2911.42,,,,,,,1817.9,1596.95,1296.44,2919.47,1543.9,4922.14,2155.66,3093.33,1505.89,1559.81,2039.41,1130.51,,,,,,1410.18
2012-01-13,4750.38,1705.6,2020.02,3239.96,,,,,,,1874.65,1646.72,1340.11,3012.76,1617.08,5038.69,2226.2,3166.18,1540.06,1613.89,2136.26,1179.88,,,,,,1471.45
2012-01-20,4924.1,1750.51,2122.32,3460.25,,,,,,,1969.83,1660.01,1364.71,3104.54,1654.07,5002.76,2261.5,3166.73,1567.36,1682.99,2234.93,1188.2,,,,,,1505.48
2012-02-03,4912.77,1807.11,2094.87,3472.87,,,,,,,1960.34,1703.66,1397.86,3147.97,1704.61,5076.97,2305.93,3241.96,1583.28,1686.34,2242.66,1246.88,,,,,,1543.72
2012-02-10,5044.93,1855.23,2141.76,3598.46,,,,,,,1995.58,1766.19,1454.35,3217.64,1746.53,5244.25,2352.6,3334.42,1594.97,1704.03,2316.29,1292.45,,,,,,1595.29
2012-02-17,5038.74,1880.84,2162.71,3622.47,,,,,,,2020.68,1802.73,1506.92,3255.13,1766.28,5306.61,2448.32,3405.05,1631.46,1728.94,2324.53,1331.68,,,,,,1655.22
2012-02-24,5335.05,1963.57,2236.36,3766.56,,,,,,,2172.75,1888.87,1572.49,3377.88,1842.85,5529.9,2514.47,3537.97,1671.42,1790.31,2555.26,1390.33,,,,,,1726.5
2012-03-02,5341.39,1983.45,2261.78,3820.41,,,,,,,2306.06,1887.94,1577.32,3386.38,1885.47,5615.01,2553.79,3518.86,1698.35,1806.22,2588.59,1410.31,,,,,,1726.04
2012-03-09,5318.04,2020.76,2210.07,3850.73,,,,,,,2319.51,1914.1,1615.14,3520.23,1890.15,5759.86,2605.91,3523.9,1699.53,1802.41,2588.87,1452.58,,,,,,1738.79
2012-03-16,5152.42,2001.45,2176.47,3812.92,,,,,,,2223.76,1921.32,1576.83,3569.29,1899.61,6033.75,2640.88,3613.8,1654.81,1751.28,2420.47,1396.32,,,,,,1698.98
2012-03-23,5056.77,1929.72,2192.6,3780.65,,,,,,,2162.74,1869.69,1540.54,3380.68,1834.66,5818.26,2558.85,3463.82,1619.54,1717.69,2396.78,1349.21,,,,,,1646.03
2012-03-30,4723.81,1785.93,2052.44,3488.74,,,,,,,2068.13,1750.96,1421.54,3189.43,1682.67,5413.55,2439.41,3243.59,1538.35,1648.97,2370.98,1243.01,,,,,,1526.29
2012-04-06,4871.63,1847.51,2116.52,3626.32,,,,,,,2123.79,1803.5,1479.85,3299.45,1753.42,5737.12,2525.92,3327.63,1573.48,1684.26,2448.9,1296.56,,,,,,1587.14
2012-04-13,5031.11,1901.86,2171.75,3726.06,,,,,,,2198.73,1860.62,1531.8,3420.14,1779.66,5805.53,2635.55,3405.85,1610.03,1727.82,2567.8,1329.8,,,,,,1669.33
2012-04-20,5115.46,1922.52,2200.26,3752.05,,,,,,,2208.67,1867.71,1531.64,3477.03,1812.27,5738.42,2648.93,3447.0,1629.1,1768.13,2619.01,1362.21,,,,,,1726.52
2012-04-27,5152.55,1861.09,2169.18,3740.82,,,,,,,2163.22,1846.18,1495.4,3418.82,1785.42,5859.82,2581.44,3350.24,1611.35,1747.63,2677.07,1303.45,,,,,,1710.15
2012-05-04,5397.79,1919.1,2249.38,3962.85,,,,,,,2227.61,1871.83,1517.17,3467.92,1830.46,6112.5,2603.05,3515.44,1646.21,1787.08,2716.24,1334.54,,,,,,1713.62
2012-05-11,5209.99,1897.45,2193.32,3905.51,,,,,,,2179.85,1840.97,1500.88,3398.81,1802.52,6030.78,2636.82,3567.98,1655.62,1738.07,2630.07,1330.58,,,,,,1682.44
2012-05-18,5009.06,1848.6,2117.43,3800.41,,,,,,,2206.98,1819.56,1486.2,3360.59,1759.19,5824.93,2638.19,3480.32,1651.51,1762.31,2580.85,1309.47,,,,,,1653.92
2012-05-25,5020.74,1826.34,2114.16,3806.08,,,,,,,2175.06,1800.89,1463.78,3223.0,1732.17,5799.66,2608.49,3450.77,1619.83,1715.78,2648.64,1290.81,,,,,,1620.5
2012-06-01,5057.92,1882.2,2157.91,3943.74,,,,,,,2216.61,1845.21,1501.05,3307.88,1771.54,6028.26,2660.3,3566.37,1658.2,1749.53,2750.85,1353.35,,,,,,1664.54
2012-06-08,4699.01,1786.38,2077.0,3790.96,,,,,,,2105.02,1772.47,1419.32,3150.43,1686.59,5872.17,2562.75,3506.82,1651.2,1670.79,2659.12,1289.1,,,,,,1563.26
2012-06-15,4644.1,1816.1,2027.38,3858.31,,,,,,,2157.35,1830.56,1443.63,3229.29,1743.11,6013.05,2657.93,3707.86,1726.5,1670.58,2717.07,1313.82,,,,,,1596.99
